Year,Income,Consumption
1950,791.8,733.2
1951,819,748.7
1952,844.3,771.4
1953,880,802.5
1954,894,822.7
1955,944.5,873.8
1956,989.4,899.8
1957,1012.1,919.7
1958,1028.8,932.9
1959,1067.2,979.4
1960,1091.1,1005.1
1961,1123.2,1025.2
1962,1170.2,1069
1963,1207.3,1108.4
1964,1291,1170.6
1965,1365.7,1236.4
1966,1431.3,1298.9
1967,1493.2,1337.7
1968,1551.3,1405.9
1969,1599.8,1456.7
1970,1688.1,1492
1971,1728.4,1538.8
1972,1797.4,1621.9
1973,1916.3,1689.6
1974,1896.6,1674
1975,1931.7,1711.9
1976,2001,1803.9
1977,2066.6,1883.8
1978,2167.4,1961
1979,2216.2,2004.4
1980,2214.3,2000.4
1981,2248.6,2024.2
1982,2261.5,2050.7
1983,2334.6,2145.9
1984,2468.4,2239.9
1985,2509,2312.6
,,
